Header,Gene_Code
fig|158878.1.peg.318,nanE_1_bv
fig|6666666.253498.peg.43,nanE_2_bv
fig|2100.73.peg.540,nanE_3_bv
fig|2109.17.peg.684,nanE_4_bv
fig|59201.542.peg.1822,nanE_5_bv
fig|1126.39.peg.472,nanE_6_bv
fig|1978231.841.peg.2045,nanE_7_bv
fig|1978231.767.peg.2264,nanE_8_bv
fig|726.150.peg.1285,nanE_9_bv
fig|3090670.3.peg.1968,nanE_10_bv
fig|1126.22.peg.502,nanE_11_bv
fig|6666666.85349.peg.1188,nanE_12_bv
fig|1896314.3.peg.1122,nanE_13_bv
fig|3030917.3.peg.342,nanE_14_bv
fig|1978231.766.peg.1286,nanE_15_bv
fig|2052142.277.peg.42,nanE_16_bv
fig|1978231.112.peg.228,nanE_17_bv
fig|1978231.740.peg.230,nanE_18_bv
fig|1126.17.peg.501,nanE_19_bv
fig|573.15178.peg.488,nanE_20_bv
fig|2052142.614.peg.1573,nanE_21_bv
fig|1978231.824.peg.4484,nanE_22_bv
fig|1978231.1301.peg.319,nanE_23_bv
fig|3030917.3.peg.1246,nanE_24_bv
fig|51663.42.peg.932,nanE_25_bv
fig|1978231.560.peg.1787,nanE_26_bv
fig|3364806.3.peg.3115,nanE_27_bv
fig|2052142.668.peg.3875,nanE_28_bv
fig|6666666.185547.peg.2303,nanE_29_bv
fig|1879010.6796.peg.2087,nanE_30_bv
fig|1978231.477.peg.4696,nanE_31_bv
fig|6666666.166622.peg.497,nanE_32_bv
fig|1978231.771.peg.1773,nanE_33_bv
fig|47770.776.peg.2006,nanE_34_bv
fig|6666666.122957.peg.1691,nanE_35_bv
fig|6666666.164204.peg.1484,nanE_36_bv
fig|1840217.5.peg.398,nanE_37_bv
fig|189201.12.peg.359,nanE_38_bv
fig|1703.7.peg.600,nanE_39_bv
fig|6666666.122957.peg.1694,nanE_40_bv
fig|1496.5248.peg.2581,nanE_41_bv
fig|2052142.277.peg.43,nanE_42_bv
fig|139.86.peg.625,nanE_43_bv
fig|2569760.6.peg.1298,nanE_44_bv
fig|1399.11.peg.3805,nanE_45_bv
fig|2052317.367.peg.612,nanE_46_bv
fig|6666666.205101.peg.794,nanE_47_bv
fig|3365840.3.peg.5203,nanE_48_bv
fig|1927133.3.peg.1583,nanE_49_bv
fig|261514.127.peg.31,nanE_50_bv
fig|35802.62.peg.2034,nanE_51_bv
fig|1844051.3.peg.3527,nanE_52_bv
fig|1885919.3.peg.2444,nanE_53_bv
fig|204722.15.peg.2512,nanE_54_bv
fig|1006576.20.peg.844,nanE_55_bv
fig|6666666.253524.peg.5270,nanE_56_bv
fig|1978231.645.peg.3857,nanE_57_bv
fig|1978231.1087.peg.1558,nanE_58_bv
fig|2052142.277.peg.2006,nanE_59_bv
fig|156203.3.peg.1928,nanE_60_bv
fig|335286.8.peg.5520,nanE_61_bv
fig|235.571.peg.1471,nanE_62_bv
fig|1358.522.peg.788,nanE_63_bv
fig|1844048.3.peg.2398,nanE_64_bv
fig|335286.3.peg.4576,nanE_65_bv
fig|1160188.3.peg.3102,nanE_66_bv
fig|520454.3.peg.3343,nanE_67_bv
fig|520453.4.peg.2484,nanE_68_bv
fig|1160185.3.peg.2292,nanE_69_bv
fig|29459.1233.peg.3659,nanE_70_bv
fig|1445612.3.peg.390,nanE_71_bv
fig|29460.37.peg.876,nanE_72_bv
fig|235.365.peg.2981,nanE_73_bv
fig|1169205.5.peg.409,nanE_74_bv
fig|520487.3.peg.309,nanE_75_bv
fig|1869227.4217.peg.451,nanE_76_bv
fig|1388742.3.peg.891,nanE_77_bv
fig|36855.57.peg.736,nanE_78_bv
fig|235.188.peg.921,nanE_79_bv
fig|120576.3.peg.6,nanE_80_bv
fig|520488.4.peg.981,nanE_81_bv
fig|2975052.3.peg.2599,nanE_82_bv
fig|35802.85.peg.1756,nanE_83_bv
fig|644340.9.peg.1827,nanE_84_bv
fig|1293913.3.peg.2703,nanE_85_bv
fig|1169237.3.peg.2450,nanE_86_bv
fig|35802.90.peg.1408,nanE_87_bv
fig|235.559.peg.2656,nanE_88_bv
fig|35802.114.peg.1843,nanE_89_bv
fig|2969823.3.peg.477,nanE_90_bv
fig|407152.13.peg.2624,nanE_91_bv
fig|235.106.peg.3516,nanE_92_bv
fig|29459.333.peg.2683,nanE_93_bv
fig|29460.36.peg.1739,nanE_94_bv
fig|2975051.4.peg.2188,nanE_95_bv
fig|470137.4.peg.429,nanE_96_bv
fig|2420311.3.peg.6407,nanE_97_bv
fig|444178.3.peg.415,nanE_98_bv
fig|261514.296.peg.1050,nanE_99_bv
fig|520451.3.peg.3145,nanE_100_bv
fig|1149953.3.peg.2559,nanE_101_bv
fig|2025889.3.peg.758,nanE_102_bv
fig|1967288.7.peg.1556,nanE_103_bv
fig|335286.10.peg.3580,nanE_104_bv
fig|644346.12.peg.5360,nanE_105_bv
fig|120577.17.peg.1572,nanE_106_bv
fig|1469556.3.peg.2074,nanE_107_bv
fig|2053509.98.peg.1167,nanE_108_bv
fig|1160184.3.peg.2949,nanE_109_bv
fig|693750.4.peg.639,nanE_110_bv
fig|1388739.3.peg.1836,nanE_111_bv
fig|1881069.4.peg.3747,nanE_112_bv
fig|235.181.peg.2550,nanE_113_bv
fig|1160193.3.peg.2904,nanE_114_bv
fig|1169205.5.peg.3344,nanE_115_bv
fig|1006576.23.peg.1381,nanE_116_bv
fig|29459.345.peg.2675,nanE_117_bv
fig|1341688.3.peg.2657,nanE_118_bv
fig|2942452.9.peg.2289,nanE_119_bv
fig|29459.1237.peg.1511,nanE_120_bv
fig|29461.54.peg.3058,nanE_121_bv
fig|2053509.90.peg.2801,nanE_122_bv
fig|235.188.peg.922,nanE_123_bv
fig|2872517.12.peg.2970,nanE_124_bv
fig|2592625.4.peg.3253,nanE_125_bv
fig|29459.1474.peg.3065,nanE_126_bv
fig|1927134.3.peg.2329,nanE_127_bv
fig|407152.14.peg.2932,nanE_128_bv
fig|1171378.3.peg.2421,nanE_129_bv
fig|693748.4.peg.932,nanE_130_bv
fig|1160234.3.peg.2530,nanE_131_bv
fig|1844039.3.peg.2570,nanE_132_bv
fig|1160189.3.peg.3118,nanE_133_bv
fig|1948890.112.peg.4187,nanE_134_bv
fig|2202734.657.peg.867,nanE_135_bv
fig|3119828.3.peg.14,nanE_136_bv
fig|440168.4.peg.274,nanE_137_bv
fig|261514.156.peg.292,nanE_138_bv
fig|2691913.3.peg.3140,nanE_139_bv
fig|1967288.4.peg.3150,nanE_140_bv
fig|407152.7.peg.105,nanE_141_bv
fig|2282143.17.peg.1701,nanE_142_bv
fig|520463.3.peg.891,nanE_143_bv
fig|2821140.3.peg.2861,nanE_144_bv
fig|407152.6.peg.8964,nanE_145_bv
fig|1149952.3.peg.612,nanE_146_bv
fig|529.367.peg.2497,nanE_147_bv
fig|2053509.108.peg.869,nanE_148_bv
fig|2053509.85.peg.318,nanE_149_bv
fig|261514.83.peg.1617,nanE_150_bv
fig|35802.91.peg.1794,nanE_151_bv
fig|235.190.peg.222,nanE_152_bv
fig|1308979.4.peg.123,nanE_153_bv
fig|2053509.83.peg.916,nanE_154_bv
fig|2769351.3.peg.2703,nanE_155_bv
fig|35802.86.peg.1931,nanE_156_bv
fig|29459.1233.peg.540,nanE_157_bv
fig|1169217.3.peg.2851,nanE_158_bv
fig|1046114.3.peg.542,nanE_159_bv
fig|29461.54.peg.3057,nanE_160_bv
fig|1872485.14.peg.1592,nanE_161_bv
fig|2828483.4.peg.2206,nanE_162_bv
fig|3234198.3.peg.4243,nanE_163_bv
fig|1872084.216.peg.3107,nanE_164_bv
fig|2781978.3.peg.2920,nanE_165_bv
fig|520448.3.peg.2915,nanE_166_bv
fig|3345901.3.peg.2659,nanE_167_bv
fig|2966359.5.peg.3964,nanE_168_bv
fig|2561926.3.peg.5085,nanE_169_bv
fig|2949653.7.peg.896,nanE_170_bv
fig|1313.23704.peg.1032,nanE_171_bv
fig|1335060.40.peg.2480,nanE_172_bv
fig|2053509.86.peg.3610,nanE_173_bv
fig|2854036.17.peg.3660,nanE_174_bv
fig|235.30.peg.1077,nanE_175_bv
fig|235.361.peg.3307,nanE_176_bv
fig|1870902.25.peg.1109,nanE_177_bv
fig|3364124.3.peg.3188,nanE_178_bv
fig|204799.15.peg.1017,nanE_179_bv
fig|1313.24307.peg.1621,nanE_180_bv
fig|546.690.peg.4588,nanE_181_bv
fig|992288.3.peg.2586,nanE_182_bv
fig|2819732.3.peg.820,nanE_183_bv
fig|590.14279.peg.1780,nanE_184_bv
fig|590.15389.peg.1546,nanE_185_bv
fig|1116067.3.peg.3627,nanE_186_bv
fig|1622.74.peg.2197,nanE_187_bv
fig|90370.2803.peg.1659,nanE_188_bv
fig|868146.3.peg.4150,nanE_189_bv
fig|1157347.3.peg.961,nanE_190_bv
fig|1313.21720.peg.2192,nanE_191_bv
fig|1422195.3.peg.2400,nanE_192_bv
fig|1280.30162.peg.177,nanE_193_bv
fig|1667327.23.peg.3654,nanE_194_bv
fig|1313.8034.peg.1254,nanE_195_bv
fig|600.83.peg.1962,nanE_196_bv
fig|1655.40.peg.1203,nanE_197_bv
fig|562.52512.peg.2931,nanE_198_bv
fig|2702.464.peg.360,nanE_199_bv
fig|316089.70.peg.771,nanE_200_bv
fig|115545.23.peg.1904,nanE_201_bv
fig|573.25602.peg.495,nanE_202_bv
fig|1352.11535.peg.743,nanE_203_bv
fig|1748967.26.peg.158,nanE_204_bv
fig|666.4504.peg.3170,nanE_205_bv
fig|1352.10287.peg.2005,nanE_206_bv
fig|1639.7634.peg.1806,nanE_207_bv
fig|2099788.3.peg.1492,nanE_208_bv
fig|1157383.3.peg.111,nanE_209_bv
fig|1245026.4.peg.3470,nanE_210_bv
fig|1463866.3.peg.3348,nanE_211_bv
fig|1280.30427.peg.2148,nanE_212_bv
fig|1313.31879.peg.1884,nanE_213_bv
fig|2049044.92.peg.118,nanE_214_bv
fig|299767.182.peg.4100,nanE_215_bv
fig|1313.32342.peg.1408,nanE_216_bv
fig|160386.15.peg.2498,nanE_217_bv
fig|29485.7.peg.2258,nanE_218_bv
fig|1351.3456.peg.2368,nanE_219_bv
fig|1639.800.peg.934,nanE_220_bv
fig|590.15194.peg.81,nanE_221_bv
fig|573.14271.peg.1265,nanE_222_bv
fig|91750.188.peg.835,nanE_223_bv
fig|1351.1168.peg.2675,nanE_224_bv
fig|462198.7.peg.2002,nanE_225_bv
fig|1898203.1816.peg.2898,nanE_226_bv
fig|90370.1378.peg.1219,nanE_227_bv
fig|47466.3.peg.649,nanE_228_bv
fig|573.30975.peg.1723,nanE_229_bv
fig|53345.128.peg.71,nanE_230_bv
fig|196024.6.peg.2113,nanE_231_bv
fig|826.3.peg.2644,nanE_232_bv
fig|1313.31373.peg.1814,nanE_233_bv
fig|1351.4375.peg.2832,nanE_234_bv
fig|28901.8164.peg.4318,nanE_235_bv
fig|590.14894.peg.2251,nanE_236_bv
fig|1639.4829.peg.1524,nanE_237_bv
fig|411462.6.peg.1620,nanE_238_bv
fig|573.13443.peg.1903,nanE_239_bv
fig|1307.762.peg.1049,nanE_240_bv
fig|1351.915.peg.2834,nanE_241_bv
fig|573.35508.peg.733,nanE_242_bv
fig|562.31378.peg.1750,nanE_243_bv
fig|1909294.264.peg.3572,nanE_244_bv
fig|1639.4758.peg.2061,nanE_245_bv
fig|562.17329.peg.4868,nanE_246_bv
fig|2807545.3.peg.1305,nanE_247_bv
fig|2589960.3.peg.1174,nanE_248_bv
fig|38293.47.peg.1643,nanE_249_bv
fig|28901.5089.peg.4253,nanE_250_bv
fig|28037.486.peg.1785,nanE_251_bv
fig|1352.4245.peg.376,nanE_252_bv
fig|1265684.3.peg.463,nanE_253_bv
fig|1496.2581.peg.3759,nanE_254_bv
fig|1852366.3.peg.238,nanE_255_bv
fig|47845.8.peg.1127,nanE_256_bv
fig|1314.2216.peg.836,nanE_257_bv
fig|985002.309.peg.427,nanE_258_bv
fig|562.78034.peg.7005,nanE_259_bv
fig|562.78034.peg.7834,nanE_260_bv
fig|644.710.peg.2140,nanE_261_bv
fig|299766.119.peg.4446,nanE_262_bv
fig|90370.4135.peg.3519,nanE_263_bv
fig|562.78230.peg.5532,nanE_264_bv
fig|1354.393.peg.561,nanE_265_bv
fig|1314.3072.peg.204,nanE_266_bv
fig|2058152.58.peg.2400,nanE_267_bv
